,0
0,96521
1,54584
2,105767
3,65386
4,54076
5,86196
6,85810
7,44442
8,96792
9,75288
10,65365
11,117672
12,97076
13,96661
14,86038
15,75753
16,75103
17,65324
18,117773
19,95791
20,65326
21,76145
22,44136
23,54465
24,44174
25,64974
26,85606
27,85899
28,74919
29,96832
30,54160
31,76126
32,44263
33,44008
34,85244
35,54536
36,54372
37,85504
38,76106
39,117669
40,54350
41,75082
42,75214
43,96815
44,96886
45,44270
46,75001
47,75961
48,95969
49,65364
50,96745
51,97029
52,117539
53,76123
54,97133
55,85674
56,75493
57,85736
58,85988
59,117620
60,65006
61,96072
62,96599
63,44351
64,44047
65,96217
66,85586
67,86220
68,64910
69,96078
70,86159
71,96852
72,54562
73,54124
74,64871
75,44344
76,54333
77,85373
78,54412
79,44427
80,76115
81,96094
82,95987
83,75848
84,86125
85,85440
86,85761
87,97214
88,75745
89,44485
90,54310
91,117655
92,96967
93,85468
94,54290
95,97163
96,117649
97,44062
98,75021
99,96877
100,85531
101,85919
102,96143
103,65276
104,111741
105,75010
106,75522
107,86016
108,74981
109,95842
110,96567
111,75236
112,85427
113,111852
114,105834
115,117739
116,85533
117,44336
118,105817
119,54193
120,54631
121,54638
122,97150
123,96246
124,44404
125,75906
126,75688
127,54369
128,54143
129,44108
130,85527
131,117765
132,75990
133,75834
134,105947
135,65088
136,65136
137,111618
138,75923
139,65421
140,97035
141,105791
142,97144
143,86229
144,96660
145,96981
146,96328
147,106019
148,85400
149,111979
150,64828
151,111843
152,54520
153,53960
154,75356
155,65062
156,111790
157,117876
158,96902
159,54061
160,44127
161,96864
162,96889
163,76173
164,105990
165,74925
166,54063
167,85173
168,75300
169,117819
170,85695
171,97169
172,96463
173,86078
174,86237
175,75061
176,54101
177,75878
178,75723
179,75030
180,85259
181,96489
182,86149
183,54235
184,54184
185,86087
186,96882
187,75599
188,44412
189,112013
190,111740
191,97126
192,43891
193,85880
194,106007
195,111811
196,75591
197,76164
198,97129
199,85942
200,96448
201,64761
202,96007
203,75601
204,111762
205,43853
206,65383
207,85054
208,65445
209,105764
210,96285
211,44168
212,97043
213,95894
214,75571
215,64936
216,96066
217,97064
218,65165
219,85439
220,75801
221,76028
222,96334
223,75221
224,96956
225,117872
226,75484
227,117719
228,64946
229,111902
230,97145
231,96977
232,75271
233,76084
234,96810
235,76046
236,111649
237,75925
238,75643
239,85091
240,75463
241,96435
242,117781
243,54231
244,75960
245,96384
246,111746
247,112057
248,75099
249,75567
250,96643
251,44482
252,105868
253,54356
254,85557
255,85181
256,96556
257,85068
258,96970
259,96914
260,85645
261,54336
262,96910
263,85538
264,96376
265,75109
266,85943
267,117756
268,44172
269,65235
270,96577
271,95903
272,44123
273,85706
274,76176
275,53956
276,96488
277,105772
278,54005
279,74892
280,65417
281,65197
282,117691
283,65188
284,74965
285,105985
286,64949
287,44295
288,96212
289,65318
290,75613
291,85454
292,111795
293,96324
294,75781
295,75408
296,54056
297,85238
298,65150
299,75232
300,44087
301,85460
302,54339
303,75116
304,85900
305,75419
306,105919
307,96320
308,44311
309,96176
310,85476
311,85163
312,86039
313,75286
314,85200
315,117533
316,85362
317,86195
318,96771
319,85866
320,75410
321,117618
322,44358
323,75072
324,105794
325,117690
326,96229
327,96548
328,117602
329,111613
330,44331
331,44379
332,86242
333,64981
334,44181
335,85714
336,75635
337,85662
338,111899
339,65253
340,85149
341,95736
342,54444
343,96509
344,95806
345,85515
346,65238
347,95964
348,75443
349,43834
350,54525
351,86043
352,75763
353,86042
354,117831
355,85823
356,75011
357,44215
358,54416
359,54034
360,54373
361,75165
362,75291
363,106053
364,85151
365,97140
366,111757
367,65156
368,85922
369,96791
370,95905
371,95735
372,85044
373,96134
374,54488
375,96278
376,54670
377,75814
378,96980
379,111880
380,96368
381,95770
382,75651
383,95802
